127.0.0.1 - - [28/Feb/2023:12:59:40 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/index.jsp HTTP/1.1" 200 15848
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/bootstrap/css/bootstrap.css HTTP/1.1" 200 178152
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/slingbag3.jpg HTTP/1.1" 200 20176
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/slingbag1.jpg HTTP/1.1" 200 107143
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/slingbag4.jpg HTTP/1.1" 200 1894847
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/slingbag2.jpg HTTP/1.1" 200 21760
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/handbag1.jpg HTTP/1.1" 200 273912
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/handbag2.jpg HTTP/1.1" 200 17520
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/handbag3.jpg HTTP/1.1" 200 19359
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/handbag5.jfif HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/bagpack1.jpg HTTP/1.1" 200 10512
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/bagpack2.jpg HTTP/1.1" 200 34913
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/bagpack3.jpg HTTP/1.1" 200 13943
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/bagpack4.jpg HTTP/1.1" 200 24028
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/image1.jfif HTTP/1.1" 200 4376
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/image2.jfif HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/image3.jfif HTTP/1.1" 200 6947
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/image4.jfif HTTP/1.1" 200 8117
0:0:0:0:0:0:0:1 - - [28/Feb/2023:12:59:42 +0530] "GET /WebMall/product_images/pic1.jpg HTTP/1.1" 200 59534
